source_path,package_path,decision,role,rationale,source_bytes
/Users/dlev2617/Documents/Papers/~05-Published/Case Studies on Transport Policy/CSTP-Missed Opportunities/1-s2.0-S2213624X26001471-main.pdf,paper/Missed_Opportunities_CSTP_2026.pdf,included,published_paper_reference,Final CSTP published PDF copied for local audit reference and owner-approved public package inclusion.,6573452
/Users/dlev2617/Documents/Papers/~05-Published/Case Studies on Transport Policy/CSTP-Missed Opportunities/CSTP-D-26-00188-Source/main.tex,documentation/paper_source/main.tex,included,paper_source_context,Final source TeX retained as paper context; correspondence and drafts excluded.,61357
/Users/dlev2617/Documents/Papers/~05-Published/Case Studies on Transport Policy/CSTP-Missed Opportunities/CSTP-D-26-00188-Source/bib.bib,documentation/paper_source/bib.bib,included,paper_source_context,Final source bibliography retained as paper context; correspondence and drafts excluded.,29552
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/ABS_DATA_ANALYSIS.ipynb,code/notebooks_stripped/ABS_DATA_ANALYSIS.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,30853
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/ABS_DATA_ANALYSIS.ipynb,code/notebooks_as_py/abs_data_analysis.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,30853
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance2.ipynb,code/notebooks_stripped/Finance2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,341314
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance2.ipynb,code/notebooks_as_py/finance2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,341314
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance3.ipynb,code/notebooks_stripped/Finance3.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,1050352
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance3.ipynb,code/notebooks_as_py/finance3.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,1050352
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance4.ipynb,code/notebooks_stripped/Finance4.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,903329
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Finance4.ipynb,code/notebooks_as_py/finance4.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,903329
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Financial_Analysis.ipynb,code/notebooks_stripped/Financial_Analysis.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,407008
