NEW ROUTE

"3-M2-sj2-1","SMNW","M2","M2 Metro West","Sydney Metro Network","401","168388","FFFFFF","1"


NEW STOPS

stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code

"2000700","","Hunter Street Station","-33.86549495007947","151.2073792903892","1","","1","",""
"2000468","2000468","Hunter Street Station, Platform 1","-33.86549495007947","151.2073792903892","","2000700","1","Level -5",""

"200970","","Pyrmont Station","-33.869905989550055","151.1970896940109","1","","1","",""
"2009468","2009468","Pyrmont Station, Platform 1","-33.869905989550055","151.1970896940109","","200970","1","Level -5",""

"203970","","The Bays Station","-33.865816865120166","151.17698785572261","1","","1","",""
"2039468","2009468","The Bays Station, Platform 1","-33.865816865120166","151.17698785572261","","203970","1","Level -5",""

"204670","","Five Dock Station","-33.86730095110753","151.12956340120508","1","","1","",""
"2046468","2046468","Five Dock Station, Platform 1","-33.86730095110753","151.12956340120508","","204670","1","Level -5",""

"2134700","","Burwood North Station","-33.86916956219813","151.10566847368796","1","","1","",""
"2134468","2134468","Burwood North Station, Platform 1","-33.86916956219813","151.10566847368796","","2134700","1","Level -5",""

"2137700","","North Strathfield Station","-33.858749885372895","151.08847202732682","1","","1","",""
"2137468","2137468","North Strathfield Station, Platform 1","-33.858749885372895","151.08847202732682","","2137700","1","Level -5",""

"212770","","Olympic Park Station","-33.848641207002146","151.06923210237363","1","","1","",""
"2127468","2127468","Olympic Park Station, Platform 1","-33.848641207002146","151.06923210237363","","212770","1","Level -5",""

"2150700","","Parramatta Metro Station","-33.81451111471625","151.00458998705915","1","","1","",""
"2150468","2150468","Parramatta Metro Station, Platform 1","-33.81451111471625","151.00458998705915","","2150700","1","Level -5",""

"2145700","","Westmead Metro Station","-33.80932572934121","150.98807048339913","1","","1","",""
"2145469","2145469","Westmead Metro Station, Platform 1","-33.80932572934121","150.98807048339913","","2145700","1","Level -5",""



"2000800","","Domain Metro Station","-33.86968673956816","151.2138347775957","1","","1","",""
"2000569","2000569","Domain Metro Station, Platform 1","-33.86968673956816","151.2138347775957","","2000800","1","Level -5",""

"2010700","","Oxford St Metro Station","-33.87926712137891","151.2151091684241","1","","1","",""
"2010469","2010469","Oxford St Metro Station, Platform 1","-33.87926712137891","151.2151091684241","","2010700","1","Level -5",""

"2010800","","Devonshire St Metro Station","-33.88881825782365","151.21332751909856","1","","1","",""
"2010569","2010569","Devonshire St Metro Station, Platform 1","-33.88881825782365","151.21332751909856","","2010800","1","Level -5",""




"2017700","","Green Square Metro Station","-33.90668429648944","151.20364502357748","1","","1","",""
"2017469","2017469","Green Square Metro Station, Platform 1","-33.90668429648944","151.20364502357748","","2017700","1","Level -5",""

"2031700","","Randwick Metro Station","-33.915866706944804","151.2343456772924","1","","1","",""
"2031469","2145469","Randwick Metro Station, Platform 1","-33.915866706944804","151.2343456772924","","2031700","1","Level -5",""

"2035700","","Maroubra Metro Station","-33.94008745382115","151.23947491043097","1","","1","",""
"2035469","2145469","Maroubra Metro Station, Platform 1","-33.94008745382115","151.23947491043097","","2035700","1","Level -5",""

"2035710","","South Maroubra Metro Station","-33.9531672751443","151.24259916556682","1","","1","",""
"2035569","2035569","South Maroubra Metro Station, Platform 1","-33.9531672751443","151.24259916556682","","2035710","1","Level -5",""

"2036700","","Malabar Metro Station","-33.970483517011374","151.2503933935709","1","","1","",""
"2036469","2036469","Malabar Metro Station, Platform 1","-33.970483517011374","151.2503933935709","","2036700","1","Level -5",""

"2036710","","La Parouse Metro Station","-33.98235461149337","151.23648000057085","1","","1","",""
"2036569","2036469","La Parouse Metro Station, Platform 1","-33.98235461149337","151.23648000057085","","2036710","1","Level -5",""



NEW TRIPS


route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,route_direction,trip_note,bikes_allowed


"3-M1-sj2-1","TA+4m500+11","0015-001-151-005:1000","3-M1-sj2-1.7.H","Tallawong","0","","1","Sydenham to Tallawong","",""

"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1000","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1000","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1001","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1001","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1002","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1002","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1003","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1003","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1004","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1004","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1005","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1005","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1006","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1006","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1007","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1007","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1008","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1008","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1009","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1009","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1010","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1010","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1011","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1011","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1012","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1012","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1013","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1013","","Hunter Street","1","","1","Westmead to Hunter Street","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-007:1014","","Westmead","0","","1","Hunter Street to Westmead","",""
"3-M2-sj2-1","TA+6m500+11","0016-002-154-008:1014","","Hunter Street","1","","1","Westmead to Hunter Street","",""
